user_id,item_id,rating,timestamp,datetime
286,881,5.0,884583549,1998-01-12 05:39:09
467,10,4.0,879532496,1997-11-14 18:34:56
144,831,3.0,888104805,1998-02-21 23:46:45
125,756,4.0,892838424,1998-04-17 18:40:24
478,122,2.0,889397778,1998-03-08 22:56:18
916,509,4.0,880844312,1997-11-29 22:58:32
387,446,2.0,886481800,1998-02-03 04:56:40
677,109,1.0,889399327,1998-03-08 23:22:07
696,344,5.0,886403672,1998-02-02 07:14:32
145,284,4.0,888398104,1998-02-25 09:15:04
94,347,5.0,891724950,1998-04-04 21:22:30
320,974,3.0,884749097,1998-01-14 03:38:17
934,99,3.0,891194379,1998-03-29 17:59:39
151,387,5.0,879542353,1997-11-14 21:19:13
409,1242,2.0,881106087,1997-12-02 23:41:27
711,82,3.0,879994632,1997-11-20 02:57:12
251,1098,3.0,886271920,1998-01-31 18:38:40
211,462,4.0,879460096,1997-11-13 22:28:16
372,176,3.0,876869667,1997-10-14 22:54:27
713,315,4.0,888881988,1998-03-02 23:39:48
276,62,2.0,874792574,1997-09-20 21:56:14
474,15,5.0,887915600,1998-02-19 19:13:20
364,321,2.0,875931478,1997-10-04 02:17:58
230,526,3.0,880485159,1997-11-25 19:12:39
484,95,4.0,891195773,1998-03-29 18:22:53
943,485,5.0,888639523,1998-02-28 04:18:43
682,809,2.0,888522755,1998-02-26 19:52:35
689,358,4.0,876674762,1997-10-12 16:46:02
435,117,3.0,884131356,1998-01-07 00:02:36
13,367,3.0,882141458,1997-12-14 23:17:38
293,503,4.0,888907145,1998-03-03 06:39:05
899,157,4.0,884122419,1998-01-06 21:33:39
911,625,5.0,892840807,1998-04-17 19:20:07
551,518,4.0,892783212,1998-04-17 03:20:12
371,64,4.0,877487052,1997-10-22 02:24:12
196,287,3.0,881251884,1997-12-04 16:11:24
481,596,4.0,885828773,1998-01-26 15:32:53
943,97,2.0,888639445,1998-02-28 04:17:25
894,256,3.0,879896704,1997-11-18 23:45:04
184,942,3.0,889909768,1998-03-14 21:09:28
459,1040,2.0,879563701,1997-11-15 03:15:01
409,275,4.0,881107351,1997-12-03 00:02:31
747,510,5.0,888639890,1998-02-28 04:24:50
77,191,3.0,884752948,1998-01-14 04:42:28
189,952,5.0,893264619,1998-04-22 17:03:39
922,63,3.0,891449363,1998-04-01 16:49:23
378,40,3.0,880333653,1997-11-24 01:07:33
316,98,5.0,880853743,1997-11-30 01:35:43
915,286,4.0,891030032,1998-03-27 20:20:32
907,393,5.0,880160009,1997-11-22 00:53:29
315,25,5.0,879821120,1997-11-18 02:45:20
312,206,5.0,891699399,1998-04-04 14:16:39
3,346,5.0,889237455,1998-03-07 02:24:15
351,1316,4.0,883356883,1997-12-29 00:54:43
545,215,3.0,884133881,1998-01-07 00:44:41
308,68,4.0,887740933,1998-02-17 18:42:13
211,455,3.0,879461498,1997-11-13 22:51:38
655,1370,3.0,890887261,1998-03-26 04:41:01
890,527,4.0,882405473,1997-12-18 00:37:53
292,58,5.0,881105442,1997-12-02 23:30:42
548,327,3.0,891042794,1998-03-27 23:53:14
154,527,4.0,879139040,1997-11-10 05:17:20
530,214,2.0,886202320,1998-01-30 23:18:40
758,629,4.0,881978715,1997-12-13 02:05:15
92,961,4.0,875811128,1997-10-02 16:52:08
435,472,2.0,884133466,1998-01-07 00:37:46
